date,deaths
2020-06-01,90.0
2020-06-08,51.0
2020-06-15,51.0
2020-06-22,48.0
2020-06-29,24.0
2020-07-06,37.0
2020-07-13,31.0
2020-07-20,10.0
2020-07-27,28.0
2020-08-03,18.0
2020-08-10,3.0
2020-08-17,37.0
2020-08-24,25.0
2020-08-31,15.0
2020-09-07,22.0
2020-09-14,17.0
2020-09-21,21.0
2020-09-28,23.0
2020-10-05,24.0
2020-10-12,33.0
2020-10-19,29.0
2020-10-26,36.0
2020-11-02,31.0
2020-11-09,36.0
2020-11-16,30.0
2020-11-23,33.0
2020-11-30,50.0
2020-12-07,61.0
2020-12-14,68.0
2020-12-21,0.0
2020-12-28,162.0
2021-01-04,92.0
2021-01-11,99.0
2021-01-18,86.0
2021-01-25,90.0
2021-02-01,90.0
2021-02-08,96.0
2021-02-15,70.0
2021-02-22,47.0
2021-03-01,45.0
2021-03-08,49.0
2021-03-15,54.0
2021-03-22,54.0
2021-03-29,35.0
2021-04-05,19.0
2021-04-12,11.0
2021-04-19,14.0
2021-04-26,11.0
2021-05-03,11.0
2021-05-10,7.0
2021-05-17,12.0
2021-05-24,6.0
2021-05-31,9.0
2021-06-07,4.0
2021-06-14,1.0
2021-06-21,6.0
2021-06-28,4.0
2021-07-05,2.0
2021-07-12,3.0
2021-07-19,5.0
2021-07-26,3.0
