date,deaths
2020-06-01,54.0
2020-06-08,47.0
2020-06-15,26.0
2020-06-22,26.0
2020-06-29,22.0
2020-07-06,11.0
2020-07-13,8.0
2020-07-20,8.0
2020-07-27,8.0
2020-08-03,9.0
2020-08-10,3.0
2020-08-17,13.0
2020-08-24,9.0
2020-08-31,5.0
2020-09-07,9.0
2020-09-14,12.0
2020-09-21,11.0
2020-09-28,7.0
2020-10-05,18.0
2020-10-12,10.0
2020-10-19,10.0
2020-10-26,22.0
2020-11-02,11.0
2020-11-09,25.0
2020-11-16,29.0
2020-11-23,25.0
2020-11-30,37.0
2020-12-07,63.0
2020-12-14,42.0
2020-12-21,0.0
2020-12-28,94.0
2021-01-04,75.0
2021-01-11,59.0
2021-01-18,60.0
2021-01-25,58.0
2021-02-01,43.0
2021-02-08,55.0
2021-02-15,27.0
2021-02-22,27.0
2021-03-01,38.0
2021-03-08,35.0
2021-03-15,30.0
2021-03-22,27.0
2021-03-29,27.0
2021-04-05,9.0
2021-04-12,8.0
2021-04-19,17.0
2021-04-26,17.0
2021-05-03,9.0
2021-05-10,11.0
2021-05-17,4.0
2021-05-24,3.0
2021-05-31,3.0
2021-06-07,6.0
2021-06-14,6.0
2021-06-21,2.0
2021-06-28,0.0
2021-07-05,4.0
2021-07-12,1.0
2021-07-19,2.0
2021-07-26,1.0
