date,deaths
2020-06-01,78.0
2020-06-08,43.0
2020-06-15,30.0
2020-06-22,23.0
2020-06-29,20.0
2020-07-06,18.0
2020-07-13,6.0
2020-07-20,24.0
2020-07-27,16.0
2020-08-03,10.0
2020-08-10,1.0
2020-08-17,21.0
2020-08-24,21.0
2020-08-31,17.0
2020-09-07,7.0
2020-09-14,8.0
2020-09-21,12.0
2020-09-28,16.0
2020-10-05,13.0
2020-10-12,17.0
2020-10-19,14.0
2020-10-26,18.0
2020-11-02,11.0
2020-11-09,23.0
2020-11-16,32.0
2020-11-23,28.0
2020-11-30,37.0
2020-12-07,43.0
2020-12-14,54.0
2020-12-21,0.0
2020-12-28,137.0
2021-01-04,74.0
2021-01-11,62.0
2021-01-18,49.0
2021-01-25,61.0
2021-02-01,57.0
2021-02-08,52.0
2021-02-15,47.0
2021-02-22,27.0
2021-03-01,38.0
2021-03-08,27.0
2021-03-15,31.0
2021-03-22,37.0
2021-03-29,21.0
2021-04-05,15.0
2021-04-12,8.0
2021-04-19,12.0
2021-04-26,10.0
2021-05-03,7.0
2021-05-10,11.0
2021-05-17,11.0
2021-05-24,9.0
2021-05-31,5.0
2021-06-07,2.0
2021-06-14,3.0
2021-06-21,4.0
2021-06-28,1.0
2021-07-05,2.0
2021-07-12,0.0
2021-07-19,4.0
2021-07-26,1.0
