date,deaths
2020-06-01,40.0
2020-06-08,20.0
2020-06-15,7.0
2020-06-22,16.0
2020-06-29,3.0
2020-07-06,12.0
2020-07-13,4.0
2020-07-20,5.0
2020-07-27,11.0
2020-08-03,9.0
2020-08-10,2.0
2020-08-17,25.0
2020-08-24,12.0
2020-08-31,13.0
2020-09-07,8.0
2020-09-14,5.0
2020-09-21,3.0
2020-09-28,14.0
2020-10-05,3.0
2020-10-12,6.0
2020-10-19,13.0
2020-10-26,10.0
2020-11-02,17.0
2020-11-09,17.0
2020-11-16,28.0
2020-11-23,27.0
2020-11-30,21.0
2020-12-07,32.0
2020-12-14,40.0
2020-12-21,0.0
2020-12-28,60.0
2021-01-04,38.0
2021-01-11,33.0
2021-01-18,41.0
2021-01-25,29.0
2021-02-01,28.0
2021-02-08,42.0
2021-02-15,31.0
2021-02-22,23.0
2021-03-01,32.0
2021-03-08,28.0
2021-03-15,29.0
2021-03-22,24.0
2021-03-29,14.0
2021-04-05,13.0
2021-04-12,12.0
2021-04-19,7.0
2021-04-26,9.0
2021-05-03,2.0
2021-05-10,12.0
2021-05-17,5.0
2021-05-24,11.0
2021-05-31,4.0
2021-06-07,4.0
2021-06-14,1.0
2021-06-21,2.0
2021-06-28,0.0
2021-07-05,1.0
2021-07-12,1.0
2021-07-19,0.0
2021-07-26,3.0
