date,deaths
2020-06-01,9.0
2020-06-08,5.0
2020-06-15,4.0
2020-06-22,3.0
2020-06-29,6.0
2020-07-06,1.0
2020-07-13,3.0
2020-07-20,6.0
2020-07-27,1.0
2020-08-03,2.0
2020-08-10,1.0
2020-08-17,3.0
2020-08-24,5.0
2020-08-31,3.0
2020-09-07,0.0
2020-09-14,0.0
2020-09-21,2.0
2020-09-28,5.0
2020-10-05,2.0
2020-10-12,3.0
2020-10-19,1.0
2020-10-26,1.0
2020-11-02,3.0
2020-11-09,2.0
2020-11-16,1.0
2020-11-23,1.0
2020-11-30,4.0
2020-12-07,5.0
2020-12-14,10.0
2020-12-21,0.0
2020-12-28,22.0
2021-01-04,6.0
2021-01-11,10.0
2021-01-18,9.0
2021-01-25,6.0
2021-02-01,7.0
2021-02-08,8.0
2021-02-15,6.0
2021-02-22,6.0
2021-03-01,2.0
2021-03-08,9.0
2021-03-15,6.0
2021-03-22,3.0
2021-03-29,3.0
2021-04-05,0.0
2021-04-12,4.0
2021-04-19,2.0
2021-04-26,0.0
2021-05-03,4.0
2021-05-10,0.0
2021-05-17,2.0
2021-05-24,1.0
2021-05-31,1.0
2021-06-07,0.0
2021-06-14,2.0
2021-06-21,0.0
2021-06-28,0.0
2021-07-05,0.0
2021-07-12,0.0
2021-07-19,0.0
2021-07-26,0.0
