date,deaths
2020-06-01,7.0
2020-06-08,7.0
2020-06-15,7.0
2020-06-22,7.0
2020-06-29,5.0
2020-07-06,2.0
2020-07-13,3.0
2020-07-20,1.0
2020-07-27,2.0
2020-08-03,1.0
2020-08-10,0.0
2020-08-17,6.0
2020-08-24,1.0
2020-08-31,4.0
2020-09-07,0.0
2020-09-14,3.0
2020-09-21,2.0
2020-09-28,0.0
2020-10-05,2.0
2020-10-12,5.0
2020-10-19,1.0
2020-10-26,3.0
2020-11-02,1.0
2020-11-09,2.0
2020-11-16,2.0
2020-11-23,2.0
2020-11-30,5.0
2020-12-07,9.0
2020-12-14,11.0
2020-12-21,0.0
2020-12-28,32.0
2021-01-04,27.0
2021-01-11,24.0
2021-01-18,22.0
2021-01-25,20.0
2021-02-01,12.0
2021-02-08,23.0
2021-02-15,14.0
2021-02-22,12.0
2021-03-01,9.0
2021-03-08,9.0
2021-03-15,8.0
2021-03-22,10.0
2021-03-29,7.0
2021-04-05,7.0
2021-04-12,2.0
2021-04-19,6.0
2021-04-26,0.0
2021-05-03,2.0
2021-05-10,2.0
2021-05-17,1.0
2021-05-24,3.0
2021-05-31,0.0
2021-06-07,1.0
2021-06-14,-1.0
2021-06-21,0.0
2021-06-28,1.0
2021-07-05,1.0
2021-07-12,0.0
2021-07-19,3.0
2021-07-26,9.0
