date,deaths
2020-06-01,39.0
2020-06-08,30.0
2020-06-15,22.0
2020-06-22,20.0
2020-06-29,5.0
2020-07-06,11.0
2020-07-13,16.0
2020-07-20,9.0
2020-07-27,8.0
2020-08-03,9.0
2020-08-10,2.0
2020-08-17,13.0
2020-08-24,5.0
2020-08-31,5.0
2020-09-07,6.0
2020-09-14,8.0
2020-09-21,7.0
2020-09-28,10.0
2020-10-05,3.0
2020-10-12,24.0
2020-10-19,19.0
2020-10-26,16.0
2020-11-02,12.0
2020-11-09,18.0
2020-11-16,14.0
2020-11-23,9.0
2020-11-30,25.0
2020-12-07,19.0
2020-12-14,23.0
2020-12-21,0.0
2020-12-28,59.0
2021-01-04,40.0
2021-01-11,33.0
2021-01-18,44.0
2021-01-25,27.0
2021-02-01,36.0
2021-02-08,44.0
2021-02-15,27.0
2021-02-22,22.0
2021-03-01,27.0
2021-03-08,15.0
2021-03-15,27.0
2021-03-22,16.0
2021-03-29,7.0
2021-04-05,5.0
2021-04-12,4.0
2021-04-19,13.0
2021-04-26,6.0
2021-05-03,11.0
2021-05-10,4.0
2021-05-17,9.0
2021-05-24,0.0
2021-05-31,4.0
2021-06-07,2.0
2021-06-14,3.0
2021-06-21,1.0
2021-06-28,1.0
2021-07-05,0.0
2021-07-12,0.0
2021-07-19,6.0
2021-07-26,3.0
