county,window,truth_offset,ND,RMSE,MAE
25001,202122-202127,365,891.0351,8575.7805,1451.1143
25003,202122-202127,365,1930.5135,12067.6197,2040.8286
25005,202122-202127,365,78.7952,3855.9472,659.6286
25009,202122-202127,365,40.4336,2817.4477,487.5143
25013,202122-202127,365,89.8182,3801.0094,649.2571
25021,202122-202127,365,77.1667,3015.6929,515.9143
25023,202122-202127,365,121.9031,4009.4178,682.6571
25025,202122-202127,365,47.4009,3368.1453,581.0
25027,202122-202127,365,36.8173,2587.4072,449.1714
