county,window,truth_offset,ND,RMSE,MAE
25001,202122-202127,365,576.4737,5545.0575,938.8286
25003,202122-202127,365,1263.1081,7893.5719,1335.2857
25005,202122-202127,365,50.0205,2430.8572,418.7429
25009,202122-202127,365,25.1493,1727.2249,303.2286
25013,202122-202127,365,55.7036,2342.112,402.6571
25021,202122-202127,365,48.0085,1862.4037,320.9714
25023,202122-202127,365,81.3112,2664.6113,455.3429
25025,202122-202127,365,31.4033,2208.1057,384.9143
25027,202122-202127,365,25.0141,1735.5172,305.1714
