county,window,truth_offset,ND,RMSE,MAE
25001,202126-202130,391,55.4249,5326.5765,916.8857
25003,202126-202130,391,576.713,10509.8325,1779.5714
25005,202126-202130,391,15.3185,2440.0303,441.1714
25009,202126-202130,391,12.7721,1781.3426,326.6
25013,202126-202130,391,28.2027,3108.4647,544.7143
25021,202126-202130,391,16.5305,1895.6184,341.0
25023,202126-202130,391,23.958,2588.5523,456.5714
25025,202126-202130,391,10.5938,2204.6751,411.3429
25027,202126-202130,391,11.4499,1692.7005,313.4
